paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
201562;7500;4610;CARD;269.94;2025-05-01 03:56:22
57409;1923;4782;CARD;15.90;2025-05-01 04:25:50
80177;2817;785;CARD;109.22;20250501043322
176905;6535;553;CARD;543.43;2025-05-01 04:33:30
181978;6741;3778;CARD;145.37;2025-05-01 04:52:26
204979;7636;3154;card;431.35;202505010649
34503;1013;3541;CARD;359.55;20250501070323
83480;2950;2159;card;758.80;2025-05-01 07:46:04
199662;7425;860;CASH;943.94;20250501094700
96083;3433;2342;CASH;279.09;2025-05-01 10:46:00
137860;5024;4219;CARD;557.69;2025-05-01 12:50:39
104450;3770;2962;CASH;194.00;20250501132800
138417;5044;783;CASH;127.50;2025-05-01 13:37:00
188133;6986;856;CASH;130.40;2025-05-01 13:43:00
116041;4202;907;CASH;357.11;2025-05-01 13:45:00
9591;65-16;2467;CASH;119.94;2025-05-01 13:56:59
31557;893;2685;CASH;227.00;20250501141400
78902;2766-51;3091;CASH;20.45;202505011445
103250;3728-68;1690;CASH;128.55;202505011507
150689;5526;5016;CARD;1144.64;2025-05-01 15:38:20
35780;1067;762;CASH;358.20;20250501154000
190532;7077;2836;CASH;190.60;2025-05-01 17:24:00
103896;3751;1925;CASH;218.40;2025-05-01 17:54:00
33025;952;2582;CASH;222.60;2025-05-01 18:20:00
114186;4133;3232;CARD;291.10;2025-05-01 18:55:36
70428;2421;5273;CARD;77.97;2025-05-01 22:38:57
42603;1336;2502;CARD;55.23;2025-05-02 00:17:57
69907;2400;3115;CARD;114.30;20250502002712
167413;6167;4038;CARD;290.22;250502010856
176174;6503;3972;CASH;85.65;2025-05-02 08:12:00
104726;3779;4536;CASH;29.20;202505020819
214514;;2182;CARD;194.40;2025-05-02 08:31:21
84266;2978;4010;CARD;180.19;2025-05-02 09:30:43
151594;5562;3294;card;534.28;2025-05-02 09:47:14
105818;3817;1170;CASH;2.67;20250502102800
45168;1435;1780;CARD;514.59;2025-05-02 11:18:13
154639;5678;3624;CASH;213.95;2025-05-02 11:37:00
33508;973-14;1408;CASH;529.76;20250502120145
40232;1249;405;CARD;57.27;2025-05-02 13:38:58
167645;6176;4749;CASH;90.46;2025-05-02 13:51:00
118049;4274-81;2323;CASH;140.18;2025-05-02 14:23:43
141449;5163;2501;CARD;16.75;2025-05-02 15:32:00
177439;6558;1358;CASH;1204.50;20250502165700
148739;5447;3683;CARD;54.75;2025-05-02 17:13:32
201134;7481;340;CARD;292.98;20250502172018
120606;4372;2291;CARD;295.16;2025-05-02 17:26:42
162283;5982;383;CASH;163.80;20250502181100
202016;7520;2757;CARD;955.92;25-05-02 19:23:58
140715;5137;4515;CARD;500.23;20250502212312
69502;2385;2075;CARD;112.50;2025-05-02 21:33:06
60148;2023;2079;CARD;66.00;2025-05-02 21:37:34
184255;6833;4667;CARD;196.75;2025-05-03 01:00:23
189312;7029-80;4938;cash;15.40;202505030101
145584;5321;5288;CARD;133.20;2025-05-03 04:24:55
117840;4269;1875;CARD;473.10;2025-05-03 04:31:23
12962;192;4799;CARD;75.20;20250503072102
134826;4913-12;2677;CASH;59.40;2025-05-03 07:29:54
32173;918;1404;CASH;79.96;2025-05-03 08:19:00
24091;608;381;CASH;139.93;2025-05-03 08:48:00
202504;7540;4524;CASH;22.20;2025-05-03 09:17:00
92697;3302;1487;CARD;466.50;5-05-03 10:17:28
92086;3276;3097;CARD;31.75;20250503101834
67835;2307;1459;CARD;595.80;20250503102059
200806;G7472;2386;CASH;209.73;2025-05-03 10:32:00
103389;3733;1343;CASH;247.27;20250503111100
126204;4576;3090;CASH;88.50;2025-05-03 12:14:00
16870;338;4309;CASH;1118.60;202505031217
25580;661;2623;CARD;128.00;2025-05-03 12:49:53
136314;4965;1251;CASH;154.20;20250503132700
53252;1763;1729;CARD;152.45;202505031332
22891;560;3554;cash;217.60;2025-05-03 13:41:00
113606;N;4691;CASH;93.33;2025-05-03 15:05:00
80700;2837;3167;CARD;307.09;2025-05-03 16:07:19
123525;4477;3069;CARD;255.20;-05-03 17:39:06
26763;Kv-I7;2073;CASH;417.52;2025-05-03 17:39:44
84120;2972;1930;CASH;49.00;2025-05-03 17:45:00
72844;2518;5296;CASH;273.11;2025-05-03 18:08:00
203439;7573;4717;cash;406.37;2025-05-03 18:58:00
163502;6026;731;CASH;558.71;2025-05-03 19:20:00
114403;4140-33;2790;CASH;134.97;2025-05-03 19:56:43
97180;3479;4700;CARD;357.59;2025-05-03 23:34:01
202859;7551-49;40;cash;1201.05;202505040005
200630;7466;217;CARD;1549.50;2025-05-04 00:23:57
78582;2751;886;CARD;339.90;2025-05-04 02:28:24
124357;4512;1449;CARD;356.35;2025-05-04 09:02:44
92199;3282;2137;CASH;375.05;2025-05-04 09:18:00
11813;146;4474;CASH;114.65;2025-05-04 10:28:00
69134;2365;1412;CARD;110.54;20250504111208
124403;4513;1449;CASH;344.65;2025-05-04 11:59:00
185083;6864;1236;CARD;179.10;20250504121824
115335;4176;2973;CASH;324.63;2025-05-04 12:51:00
45972;1465;4911;CARD;363.50;20250504132044
163644;6030;3417;cash;10.40;20250504140100
138265;5040;4199;CASH;63.50;202505041427
95431;3407;3561;CASH;519.81;2025-05-04 16:24:00
90866;3228;418;CASH;656.42;2025-05-04 16:56:00
46012;1467;1798;CARD;245.38;2025-05-04 17:15:38
129706;4712;2344;CASH;571.44;2025-05-04 17:37:00
110181;3976;3675;CARD;268.98;2025-05-04 18:48:29
164331;6056;2901;CARD;847.17;2025-05-04 20:50:11
73225;2532-38;2222;CASH;530.14;2025-05-04 22:51:42
131159;4775;239;CARD;89.35;2025-05-04 23:17:42
44974;1426;4824;CARD;90.36;20250504234226
34355;1007-97;3596;CASH;74.10;2025-05-05 00:31:51
58314;1963;421;CARD;577.95;2025-05-05 01:03:57
100368;3613;1275;CARD;439.16;2025-05-05 01:09:43
160180;5893;451;CARD;688.68;20250505021146
21295;494;1938;CARD;108.60;20250505032824
63376;2149;1508;CARD;38.40;2025-05-05 08:38:20
157737;5795;4045;cash;1749.72;2025-05-05 10:14:00
120860;4381;2367;CASH;569.10;2025-05-05 11:00:00
138686;5059;1944;CASH;387.23;2025-05-05 11:03:00
116771;4228;3932;cash;80.23;2025-05-05 11:35:00
44710;1418;4044;CASH;26.29;2025-05-05 12:00:00
29349;807;2871;card;453.82;0505131455
44157;1395;510;CARD;215.91;2025-05-05 13:46:12
25761;667;4923;CASH;109.00;2025-05-05 15:14:00
74937;2607;3707;CASH;784.08;2025-05-05 15:15:00
181893;6737;5053;CASH;156.85;20250505155400
99089;3559;3042;CARD;70.40;20250505155452
182634;6772;3262;card;118.93;2025-05-05 16:28:43
186569;6924;2878;CARD;454.01;2025-05-05 16:57:59
80925;2843;1680;CARD;442.20;2025-05-05 18:22:23
162004;5969;3824;CASH;795.33;2025-05-05 18:26:00
30596;857;4397;CASH;236.13;2025-05-05 19:01:00
190534;7U78;2949;CASH;12.99;2025-05-05 19:09:00
199920;74a;313;CASH;146.83;2025-05-05 19:14:00
174370;6432;2516;CASH;66.84;2025-05-05 20:00:00
66196;2246;3431;CARD;1678.50;2025-05-05 21:52:49
213744;;1270;CARD;972.29;2025-05-05 23:36:46
139619;5092;1270;CARD;972.29;202505052336
128620;4673;5086;CARD;78.90;2025-05-06 01:05:30
63624;2158;1500;CARD;223.00;20250506030153
38447;1174;4720;card;561.13;2025-05-06 03:50:24
107313;3875;278;CARD;983.38;2025-05-06 04:56:05
68060;S1s15;3397;CASH;29.80;2025-05-06 05:04:25
172692;6367;1747;CARD;398.05;20250506054052
96706;3455;3726;CARD;67.29;2025-05-06 06:35:12
115894;4195;4757;CARD;818.63;2025-05-06 06:38:32
28079;757;1148;CARD;269.91;2025-05-06 07:45:59
98272;3521;3079;CARD;416.63;2025-05-06 08:43:17
38600;1179-24;4632;CASH;237.74;20250506093530
39372;1208;5143;CASH;64.50;2025-05-06 09:58:00
41301;1286;2903;CARD;15.30;2025-05-06 11:30:14
50810;1661;2780;CASH;149.40;20250506115300
52201;1723;3093;CASH;4.35;20250506130100
139251;5080;1691;CASH;181.93;20250506140900
192662;7161;3314;CARD;413.62;2025-05-06 14:39:58
77418;2706;4175;card;17.08;202505061456
153736;5648;3664;CASH;228.00;202505061555
198788;7389;5020;CARD;197.40;2025-05-06 17:47:22
165063;6083;2182;CASH;194.40;20250506175100
171541;6323;1234;CASH;142.10;202505061755
201036;7478;3300;CASH;284.00;2025-05-06 18:48:00
202098;7522;3430;cash;648.00;2025-05-06 19:39:00
131002;4768;279;CARD;240.47;20250506205850
44066;1392;752;CARD;41.20;2025-05-06 21:08:25
87352;3092;4904;CARD;2050.43;2025-05-06 22:55:12
11924;E;4751;CARD;317.51;20250506235635
13328;206-63;145;CASH;182.55;2025-05-07 01:47:08
124007;4497;2581;CARD;501.53;2025-05-07 02:36:33
96207;3437;4330;CARD;377.15;20250507063255
13925;231;4993;CARD;325.15;20250507070034
12327;170;149;CARD;1125.76;2025-05-07 08:44:39
110696;3996;4085;CASH;807.83;20250507091900
85783;3042;843;CARD;49.20;2025-05-07 11:22:06
98151;3516;200;CASH;880.38;2025-05-07 12:14:00
110102;3974;198;CASH;163.05;202505071219
104866;3787;4613;CASH;17.90;2025-05-07 12:53:00
176249;6506;1001;cash;1138.38;202505071419
99810;3592;3919;CARD;77.65;20250507152014
52470;1735;2252;CASH;145.55;202505071659
213997;;4962;CASH;154.25;202505071707
67551;2295;1002;CASH;136.35;2025-05-07 17:32:00
36237;1089;5146;CARD;139.29;2025-05-07 17:51:52
168323;6203;2873;CARD;1137.29;2025-05-07 19:25:37
66005;2237;4676;CASH;59.81;2025-05-07 19:36:00
185108;6866;93;CARD;101.85;2025-05-07 19:50:43
95172;3398;2101;CARD;174.20;2025-05-07 20:49:12
133221;4859-37;3174;CASH;211.75;202505072104
157644;5792;5079;CARD;44.10;025-05-07 21:49:35
105900;3820;2445;CARD;1028.25;2025-05-08 02:56:50
134583;4904;4283;CARD;115.41;2025-05-08 03:17:47
34358;1008;3596;CARD;504.61;2025-05-08 05:13:03
57612;1930;4151;CARD;187.80;2025-05-08 06:07:07
198819;7391;5020;CARD;816.55;202505080710
171761;ry332;2569;CARD;3.60;202505080750
163412;6022;3915;CASH;38.16;202505080820
178727;6606;2436;CASH;9.28;20250508093000
179911;6664;669;CASH;209.76;2025-05-08 11:34:00
59399;2000;2972;CARD;59.94;2025-05-08 13:41:54
124105;4501;4083;CASH;46.62;2025-05-08 14:07:00
73699;2551;828;CARD;1328.55;202505081426
187593;6961;4113;CASH;294.03;2025-05-08 15:18:00
158106;5810;77;CASH;47.37;2025-05-08 16:14:00
199540;7418;1124;CASH;93.75;2025-05-08 17:04:00
125719;4560;3742;CASH;89.67;2025-05-08 17:16:00
209645;;2079;CASH;66.00;20250508173800
174040;6420;1806;CARD;171.70;202505081826
150752;5530;3900;CARD;60.60;-05-08 18:49:53
135395;4932;1130;card;426.40;2025-05-08 23:23:11
48737;1581;653;CARD;777.88;2025-05-09 00:30:50
89621;3185;3280;CARD;210.34;2025-05-09 00:55:55
23523;590;1362;CARD;77.94;2025-05-09 06:44:17
123089;4459;4838;CARD;50.70;2025-05-09 07:20:19
72002;2487;3654;CARD;260.60;2025-05-09 07:57:52
8952;37;2383;CASH;607.95;2025-05-09 08:03:00
198194;7366;2322;cash;262.30;2025-05-09 08:41:00
213383;;279;CASH;240.47;20250509091500
102102;3681;3530;CARD;1710.36;2025-05-09 09:33:10
172839;6376;4525;CARD;351.46;20250509094253
23318;580;4191;CASH;14.70;2025-05-09 11:41:00
104901;3788;1289;CASH;240.30;2025-05-09 12:18:00
13732;221;485;CASH;173.09;50509123300
188477;7001;1804;CARD;716.53;250509124111
36987;1121;242;CARD;207.61;2025-05-09 12:59:48
39047;1194;4241;CASH;445.36;2025-05-09 13:22:00
63276;2146;1913;CASH;44.40;2025-05-09 13:49:00
161812;5960;1534;CARD;384.05;20250509135248
46076;1470-68;4792;CASH;613.61;2025-05-09 14:00:56
24851;638;5147;CARD;374.46;2025-05-09 14:59:49
175889;6492;1059;CARD;1443.65;2025-05-09 15:40:19
176485;6517;2231;card;1599.90;2025-05-09 18:56:08
179620;6648;3022;card;1150.53;2025-05-09 20:28:15
47129;g515;2213;CARD;393.43;2025-05-09 21:20:19
215756;;2096;CARD;149.50;2025-05-09 23:18:42
60085;2021;4550;CARD;73.90;20250510025340
122300;4431;3676;CARD;359.93;2025-05-10 03:45:03
49835;1622;4402;CARD;990.11;2025-05-10 04:40:55
