paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
123978;4496;5138;CARD;554.45;2025-12-01 00:18:50
109315;3945;2612;CARD;166.45;2025-12-01 00:43:38
23858;600;5142;CARD;593.36;2025-12-01 02:00:40
76860;2684;3064;CARD;208.80;2025-12-01 03:13:04
21392;4P8;2791;CARD;231.85;2025-12-01 04:53:57
155494;5709;3567;CARD;20.45;2025-12-01 05:04:41
40111;1R;5017;CARD;84.00;2025-12-01 05:48:53
109576;3954;1316;CARD;120.16;2025-12-01 06:16:13
192706;7162;3314;CASH;182.70;20251201084600
171114;6305;704;card;6.15;2025-12-01 09:36:39
151489;5558;4876;CARD;76.36;2025-12-01 10:14:08
82289;2900;1982;CASH;219.95;20251201103800
134770;4911;2677;CARD;458.58;2025-12-01 11:58:53
42196;y319;74;CARD;101.45;2025-12-01 12:47:25
130742;4755;2335;CARD;351.95;20251201131905
94673;3380;1579;CASH;117.24;2025-12-01 13:24:00
132240;4818;2181;CARD;46.50;20251201145930
150964;5538;2485;CASH;579.54;2025-12-01 16:38:00
153630;5643;3620;CASH;79.60;51201175300
140646;5134-75;2985;CASH;238.13;2025-12-01 21:50:30
20166;456;1910;CARD;32.67;2025-12-01 22:45:48
23046;568-63;4807;CASH;94.24;20251202001443
27921;751;3225;card;849.90;2025-12-02 00:16:52
161406;5944;364;CARD;1904.40;2025-12-02 03:10:00
45851;1461;2311;CARD;442.40;2025-12-02 04:28:37
167244;6158;4535;CARD;165.55;20251202044419
39160;1199-44;2643;CASH;35.40;-12-02 05:40:01
89051;3164;3612;CARD;12.30;2025-12-02 05:48:47
184618;B6845;910;cash;1053.01;2025-12-02 08:12:00
81819;2879;1766;CASH;59.96;2025-12-02 08:56:00
152904;5611-27;2707;CASH;316.80;2025-12-02 10:29:08
163879;6039;4404;CASH;332.51;2025-12-02 11:46:00
134919;4915;5262;CASH;298.96;20251202121000
144173;5264;3983;CASH;458.91;2025-12-02 12:35:00
13967;232-50;3537;CASH;61.98;2025-12-02 13:12:02
78292;2739;196;CASH;332.72;202512021452
180056;6672;4348;CASH;125.91;2025-12-02 15:03:00
175733;6485;25;CASH;152.40;20251202152100
154392;5670;2752;CASH;605.35;2025-12-02 15:36:00
196067;7285;5075;CASH;181.44;2025-12-02 15:37:00
181696;6731;304;CASH;147.45;2025-12-02 16:35:00
