paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
110463;3987-69;617;CASH;493.98;2025-02-01 00:08:55
196171;7288;5075;card;83.94;2025-02-01 04:11:14
69608;Y89;3754;CARD;64.53;20250201050509
94719;3381-12;1579;CASH;148.05;2025-02-01 06:25:36
58793;1981;4730;CARD;574.36;2025-02-01 06:42:09
49742;1619;1797;CASH;986.07;2025-02-01 08:13:00
200456;7461;1544;CASH;54.36;2025-02-01 08:39:00
68758;2347;5106;CARD;649.73;20250201104319
93177;3324;1361;CASH;147.27;5-02-01 11:22:00
158730;5834;3766;CASH;54.90;2025-02-01 11:54:00
131826;4801;4459;CASH;100.58;2025-02-01 12:09:00
52679;1740;4562;cash;107.80;2025-02-01 12:58:00
120360;4363;3057;CARD;48.60;2025-02-01 13:27:00
43153;1358;1549;CASH;205.60;2025-02-01 14:00:00
88272;3129;724;card;119.25;2025-02-01 14:15:11
46826;1504;1144;CASH;58.00;20250201155100
193487;7193;3288;CASH;236.14;2025-02-01 17:30:00
130931;sB64;5185;CASH;1776.94;20250201175200
120078;P3a58;2277;CASH;605.25;2025-02-01 18:14:42
116647;4223;5270;card;108.00;2025-02-01 19:10:57
40887;1271;1210;CARD;187.93;20250201225009
193176;7179;1493;CARD;161.00;2025-02-02 07:15:02
107873;3893;2357;CASH;357.15;20250202091500
96225;3438;4330;CASH;57.45;2025-02-02 10:12:00
30827;865;310;CASH;43.80;20250202104100
196370;7293;4411;CARD;877.30;2025-02-02 11:04:51
11776;144;4197;CARD;107.70;2025-02-02 11:54:05
211379;;2595;CARD;36.78;202502021159
205058;7640;2092;CASH;504.18;2025-02-02 12:36:00
125384;4549;2299;CASH;32.00;20250202130900
71572;2468;604;CARD;184.25;2025-02-02 14:04:00
158018;5807;615;CASH;78.54;2025-02-02 18:09:00
194919;7248;2157;CARD;377.19;025-02-02 23:08:07
203440;7574;2363;CARD;1199.90;2025-02-03 03:27:17
79768;2800;1087;CARD;25.95;2025-02-03 07:10:07
106996;3862;4271;CARD;17.05;2025-02-03 07:46:08
40762;1267;2966;CARD;119.92;202502030841
87883;3114;1153;CARD;172.42;2025-02-03 08:53:09
76110;2652-68;2747;CASH;420.80;2025-02-03 09:12:29
179513;6643;959;CASH;331.30;2025-02-03 10:37:00
142695;5214;1540;CASH;29.98;2025-02-03 11:14:00
28872;788;597;CARD;675.44;2025-02-03 12:03:15
65252;2212;2022;cash;409.83;2025-02-03 12:12:00
84346;2980;2373;CASH;199.90;20250203124000
11810;1d;4197;CARD;475.75;2025-02-03 12:51:51
119140;4318;2156;CARD;358.29;2025-02-03 13:31:18
205441;7VG5;4728;CASH;223.93;202502031602
213817;;2817;CARD;93.80;20250203162354
171316;6311-4;4329;CASH;179.15;20250203162955
30357;849;338;CARD;113.40;2025-02-03 18:14:44
24394;621;3183;card;305.05;2025-02-03 18:48:17
27957;753;424;CASH;22.80;20250203184900
25677;664;1490;CASH;373.00;20250203194300
48624;1577;1215;CARD;361.59;202502031944
143718;5250;62;card;45.40;202502040037
207009;;1707;CARD;197.40;20250204004145
12155;160;1707;CARD;197.40;2025-02-04 00:41:55
38533;1177;551;CARD;535.06;2025-02-04 02:12:15
131921;4805;5125;CARD;42.18;202502040948
82707;2916;394;CARD;255.10;2025-02-04 09:57:22
181374;6721;1934;CASH;141.00;2025-02-04 10:16:00
111127;4012;1401;CASH;1243.40;2025-02-04 10:26:00
108423;3909;911;CARD;395.70;20250204102942
164376;6059;3394;CARD;22.80;2025-02-04 11:59:40
147723;5403;4778;CARD;549.00;2025-02-04 12:36:23
107060;3867;4033;CASH;158.40;2025-02-04 12:47:00
159193;5853-84;2884;CASH;378.09;2025-02-04 13:15:12
81063;2849;4932;CASH;53.29;2025-02-04 13:23:00
96859;3463;4251;CARD;238.97;2025-02-04 14:01:56
26233;683;1157;card;304.61;2025-02-04 14:27:32
72324;2497;1760;CARD;1322.77;2025-02-04 14:58:05
83977;2966;2179;CARD;17.80;2025-02-04 15:23:31
9129;45;581;CASH;242.72;2025-02-04 16:07:00
31060;874;939;CASH;80.74;2025-02-04 17:11:00
108726;3921;2749;CASH;67.00;2025-02-04 17:46:00
26264;684;4756;CASH;197.15;2025-02-04 18:16:00
23296;579;823;card;140.50;20250204194443
214647;;20;card;957.16;2025-02-04 21:12:36
169100;6226;20;CARD;957.16;2025-02-04 21:15:50
160310;5898;5136;CARD;153.91;2025-02-04 22:26:00
66294;2249;3431;card;453.31;2025-02-04 22:42:48
41205;1283;2176;CARD;574.53;20250205001607
60996;2057;261;CARD;402.27;2025-02-05 01:12:55
138914;5067-46;2012;CASH;498.22;2025-02-05 02:02:34
52584;1738;2252;CARD;117.60;2025-02-05 03:55:29
37400;1134;640;CASH;77.44;2025-02-05 09:02:00
132654;4835;4608;CARD;98.53;-02-05 09:42:56
127183;4613;1098;CARD;231.90;2025-02-05 10:40:19
152484;5596;3737;CASH;76.95;20250205105900
189491;Y7s;5231;CASH;276.57;202502051112
123841;4490;1126;CARD;127.92;2025-02-05 12:48:22
206548;7691;4234;CASH;463.55;20250205131900
191076;7098;3469;CASH;203.89;2025-02-05 15:14:00
108870;3927;4141;CASH;38.20;20250205162400
12179;162;2704;CARD;241.13;2025-02-05 20:30:56
162481;5990;1965;CARD;315.84;2025-02-05 22:23:32
60868;2050;3411;CARD;42.00;2025-02-06 03:04:52
51911;1707;470;CARD;722.21;20250206032409
117071;4242;1618;CARD;81.05;2025-02-06 04:36:34
164078;6045-25;3933;CASH;357.72;2025-02-06 05:18:30
210236;;2961;cash;726.96;50206081622
125620;4557;2196;CASH;60.20;2025-02-06 08:18:00
