paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
63534;2155;2382;CASH;149.97;2026-01-01 08:04:00
112476;4067;2195;CASH;132.00;6-01-01 11:27:00
133463;4868;4733;CASH;148.20;20260101113500
77257;2701;1039;CASH;204.47;2026-01-01 11:58:00
89070;3166-29;4058;CASH;142.40;20260101135604
125664;4558;2281;CASH;420.58;202601011549
121272;4396;3865;CASH;147.35;202601011713
186623;6927;1777;CASH;334.08;202601011815
79633;2795;3594;CASH;2429.91;2026-01-01 18:23:00
82810;2919-62;2112;CASH;81.90;2026-01-01 22:21:36
54357;1811-85;2705;CASH;24.00;2026-01-02 08:44:05
41530;1295;2504;CASH;1563.56;2026-01-02 11:55:00
25289;654;3065;cash;34.70;2026-01-02 15:28:00
149973;5494;2794;CASH;1652.07;20260102153300
114991;4163;686;CASH;51.90;2026-01-02 16:01:00
74730;2598;4029;CASH;86.25;2026-01-02 17:38:00
149397;5472;4189;CASH;199.15;20260102184400
184334;6836;3851;CASH;10624.98;2026-01-02 19:45:00
109921;3967;906;CASH;2034.91;2026-01-03 08:56:00
24018;Os605-6;1899;cash;146.87;2026-01-03 09:27:50
62141;2103;4870;CASH;148.00;2026-01-03 09:45:00
178283;6589;2564;CASH;36.75;20260103132600
201681;7503;3098;CASH;34.50;20260103164700
26811;703;2359;CASH;837.01;2026-01-03 18:47:00
209793;;1697;CASH;284.54;2026-01-03 18:51:00
189468;7035;5231;CASH;17.49;20260104081300
68495;2335;1793;CASH;222.00;20260104090500
86018;3050;486;CASH;735.99;2026-01-04 14:46:00
90987;3232;4359;CASH;265.93;2026-01-05 09:45:00
209452;;1977;CASH;149.95;2026-01-05 11:31:00
173913;6416;1432;CASH;373.24;2026-01-06 08:46:00
63642;2159;1697;CASH;68.23;2026-01-06 18:25:00
